part,feature,source,option,restricted,expanded,creole,n,by_lang,by_L1,by_total
rule2,inclusive/exclusive distinction,grambank,ABSENT,,,Bahamas Creole English,,,,
rule2,gender in independent 3rd person pronouns,grambank,KEPT,,,Bahamas Creole English,,,,
rule2,male/female distinction in 2nd person pronouns,grambank,ABSENT,,,Bahamas Creole English,,,,
rule2,dual for all person categories,grambank,ABSENT,,,Bahamas Creole English,,,,
rule2,morphological case on pronominal core arguments,grambank,KEPT,,,Bahamas Creole English,,,,
rule2,phonologically independent reflexive pronoun,grambank,KEPT,,,Bahamas Creole English,,,,
rule2,special adnominal possessive pronouns,grambank,KEPT,,,Bahamas Creole English,,,,
rule2,inclusive/exclusive distinction,grambank,GAINED,,,Tok Pisin,,,,
rule2,gender in independent 3rd person pronouns,grambank,LOST,,,Tok Pisin,,,,
rule2,male/female distinction in 2nd person pronouns,grambank,ABSENT,,,Tok Pisin,,,,
rule2,dual for all person categories,grambank,GAINED,,,Tok Pisin,,,,
rule2,morphological case on pronominal core arguments,grambank,LOST,,,Tok Pisin,,,,
rule2,phonologically independent reflexive pronoun,grambank,KEPT,,,Tok Pisin,,,,
rule2,special adnominal possessive pronouns,grambank,KEPT,,,Tok Pisin,,,,
rule2,logophoric pronoun,grambank,ABSENT,,,Tok Pisin,,,,
rule2,inclusive/exclusive distinction,grambank,GAINED,,,Bislama,,,,
rule2,gender in independent 3rd person pronouns,grambank,LOST,,,Bislama,,,,
rule2,male/female distinction in 2nd person pronouns,grambank,ABSENT,,,Bislama,,,,
rule2,dual for all person categories,grambank,GAINED,,,Bislama,,,,
rule2,morphological case on pronominal core arguments,grambank,KEPT,,,Bislama,,,,
rule2,phonologically independent reflexive pronoun,grambank,LOST,,,Bislama,,,,
rule2,special adnominal possessive pronouns,grambank,LOST,,,Bislama,,,,
rule2,logophoric pronoun,grambank,ABSENT,,,Bislama,,,,
rule2,inclusive/exclusive distinction,grambank,ABSENT,,,Saramaccan,,,,
rule2,gender in independent 3rd person pronouns,grambank,LOST,,,Saramaccan,,,,
rule2,male/female distinction in 2nd person pronouns,grambank,ABSENT,,,Saramaccan,,,,
rule2,dual for all person categories,grambank,ABSENT,,,Saramaccan,,,,
rule2,morphological case on pronominal core arguments,grambank,KEPT,,,Saramaccan,,,,
