iso639_3,glottocode,name,l1_speakers,year,source_note
xpk,kuli1255,Kulina Pano,32,2007,"wikidata P1098 (unqualified, assumed L1)"
amy,amii1238,Ami,30,2007,"wikidata P1098 (unqualified, assumed L1)"
wrh,wira1262,Wiradhuri,30,2015,"wikidata P1098 (unqualified, assumed L1)"
jmd,yamd1240,Yamdena,30,,"wikidata P1098 (unqualified, assumed L1)"
jeb,jebe1250,Jebero,30,2011,"wikidata P1098 (unqualified, assumed L1)"
pmn,pamm1242,Pam (Cameroon),30,2003,"wikidata P1098 (unqualified, assumed L1)"
xor,koru1247,Korubo,27,2007,"wikidata P1098 (unqualified, assumed L1)"
uma,umat1237,Umatilla,25,2007,wikidata P1098 (first-language qualified)
zma,mand1416,Manda (Australia),25,1983,"wikidata P1098 (unqualified, assumed L1)"
lrg,lara1258,Laragia,23,2006,"wikidata P1098 (unqualified, assumed L1)"
yar,yaba1248,Yabarana,20,1977,"wikidata P1098 (unqualified, assumed L1)"
kio,kiow1266,Kiowa,20,2007,"wikidata P1098 (unqualified, assumed L1)"
nov,novi1234,Novial,20,,"wikidata P1098 (unqualified, assumed L1)"
mnc,manc1252,Manchu,20,2007,"wikidata P1098 (unqualified, assumed L1)"
zmd,mari1422,Maridan,20,1981,"wikidata P1098 (unqualified, assumed L1)"
was,wash1253,Washo,20,2011,"wikidata P1098 (unqualified, assumed L1)"
zmy,mari1423,Mariyedi,20,1981,"wikidata P1098 (unqualified, assumed L1)"
vol,vola1234,Volapük,20,2000,"wikidata P1098 (unqualified, assumed L1)"
zmj,mari1421,Maridjabin,20,1970,"wikidata P1098 (unqualified, assumed L1)"
atc,atsa1242,Atsahuaca,20,1904,"wikidata P1098 (unqualified, assumed L1)"
haa,hann1241,Han,19,2007,"wikidata P1098 (unqualified, assumed L1)"
taa,lowe1425,Lower Tanana,15,2007,"wikidata P1098 (unqualified, assumed L1)"
mfr,mari1424,Marithiel,15,2006,"wikidata P1098 (unqualified, assumed L1)"
enh,tund1254,Tundra Enets,15,,"wikidata P1098 (unqualified, assumed L1)"
zmm,mari1417,Marimanindji,15,1983,"wikidata P1098 (unqualified, assumed L1)"
zmr,mara1386,Maranunggu,15,1983,"wikidata P1098 (unqualified, assumed L1)"
abe,west2630,Western Abenaki,14,,wikidata P1098 (first-language qualified)
bxe,bira1253,Ongota,12,2012,"wikidata P1098 (unqualified, assumed L1)"
mcg,mapo1246,Mapoyo,12,2001,"wikidata P1098 (unqualified, assumed L1)"
alh,alaw1244,Alawa,12,2013,"wikidata P1098 (unqualified, assumed L1)"
kyh,karo1304,Karuk,12,2007,"wikidata P1098 (unqualified, assumed L1)"
alc,qawa1238,Qawasqar,12,,"wikidata P1098 (unqualified, assumed L1)"
csm,cent2140,Central Sierra Miwok,12,1994,wikidata P1098 (first-language qualified)
lio,liki1241,Liki,11,2005,"wikidata P1098 (unqualified, assumed L1)"
alr,alut1245,Alutor,11,2020,"wikidata P1098 (unqualified, assumed L1)"
pnk,paun1241,Paunaka,10,,"wikidata P1098 (unqualified, assumed L1)"
scq,saoc1239,Sa'och,10,2009,"wikidata P1098 (unqualified, assumed L1)"
huk,hulu1246,Hulung,10,1991,"wikidata P1098 (unqualified, assumed L1)"
ppr,piru1241,Piru,10,1989,"wikidata P1098 (unqualified, assumed L1)"
cbd,cari1279,Carijona,10,2016,"wikidata P1098 (unqualified, assumed L1)"
ari,arik1262,Arikara,10,,"wikidata P1098 (unqualified, assumed L1)"
xat,kata1270,Katawixi,10,2006,"wikidata P1098 (unqualified, assumed L1)"
sxr,saar1237,Saaroa,10,2012,wikidata P1098 (first-language qualified)
ltn,latu1238,Latundê,10,2010,"wikidata P1098 (unqualified, assumed L1)"
yhs,,,10,2014,"wikidata P1098 (unqualified, assumed L1)"
enf,fore1265,Forest Enets,10,2011,"wikidata P1098 (unqualified, assumed L1)"
ain,ainu1240,Hokkaido Ainu,10,2007,"wikidata P1098 (unqualified, assumed L1)"
paw,pawn1254,Pawnee,10,2007,"wikidata P1098 (unqualified, assumed L1)"
tpv,tana1281,Tanapag,10,2011,"wikidata P1098 (unqualified, assumed L1)"
ats,gros1243,Gros Ventre,10,2006,"wikidata P1098 (unqualified, assumed L1)"
gyd,kaya1319,Kayardild,8,2016,wikidata P1098 (first-language qualified)
hup,hupa1239,Hupa-Chilula,8,,"wikidata P1098 (unqualified, assumed L1)"
yaw,yawa1261,Yawalapití,8,2006,"wikidata P1098 (unqualified, assumed L1)"
jus,juml1239,Jumla Sign Language,8,2005,"wikidata P1098 (unqualified, assumed L1)"
zmt,mari1419,Maringarr,8,2006,"wikidata P1098 (unqualified, assumed L1)"
dbl,dyir1250,Dyirbal,8,2016,"wikidata P1098 (unqualified, assumed L1)"
idb,dama1278,Daman-Diu Portuguese,8,2012,wikidata P1098 (first-language qualified)
kgg,kusu1250,Kusunda,7,2005,"wikidata P1098 (unqualified, assumed L1)"
ywr,yawu1244,Yawuru,6,2006,"wikidata P1098 (unqualified, assumed L1)"
btj,baca1243,Bacanese Malay,6,2012,"wikidata P1098 (unqualified, assumed L1)"
chl,cahu1264,Cahuilla,6,2011,wikidata P1098 (first-language qualified)
ncz,natc1249,Natchez,6,2011,"wikidata P1098 (unqualified, assumed L1)"
orw,orow1243,Oro Win,5,2011,"wikidata P1098 (unqualified, assumed L1)"
wnw,nucl1651,Nuclear Wintu,5,,"wikidata P1098 (unqualified, assumed L1)"
atx,arut1244,Arutani,5,2018,"wikidata P1098 (unqualified, assumed L1)"
nju,ngad1258,Ngadjunmaya,5,2005,"wikidata P1098 (unqualified, assumed L1)"
abg,abag1245,Abaga,5,1994,"wikidata P1098 (unqualified, assumed L1)"
kxo,kano1245,Kanoê,5,2007,"wikidata P1098 (unqualified, assumed L1)"
xya,yayg1236,Yaygir,5,,"wikidata P1098 (unqualified, assumed L1)"
gin,hinu1240,Hinuq,5,2010,"wikidata P1098 (unqualified, assumed L1)"
wdj,wadj1254,Wadjiginy,5,2005,"wikidata P1098 (unqualified, assumed L1)"
gta,guat1253,Guató,4,2006,"wikidata P1098 (unqualified, assumed L1)"
tnx,tane1237,Tanema,4,2007,"wikidata P1098 (unqualified, assumed L1)"
crd,coeu1236,Coeur d'Alene,4,2007,wikidata P1098 (first-language qualified)
xnb,kana1286,Kanakanavu,4,2012,wikidata P1098 (first-language qualified)
zoq,taba1264,Tabasco Zoque,4,,"wikidata P1098 (unqualified, assumed L1)"
inp,inap1242,Iñapari,4,1999,"wikidata P1098 (unqualified, assumed L1)"
bdn,bald1241,Baldamu,4,2003,wikidata P1098 (first-language qualified)
oum,ouma1237,Ouma,4,2010,"wikidata P1098 (unqualified, assumed L1)"
gmr,mirn1245,Mirniny,4,2005,"wikidata P1098 (unqualified, assumed L1)"
ngh,nngg1234,N||ng,3,,"wikidata P1098 (unqualified, assumed L1)"
wgg,wang1290,Wangganguru,3,2016,wikidata P1098 (first-language qualified)
mud,medn1235,Mednyj Aleut,3,2021,"wikidata P1098 (unqualified, assumed L1)"
sae,saba1268,Sabanê,3,2004,"wikidata P1098 (unqualified, assumed L1)"
bdz,bade1240,Badeshi,3,2008,"wikidata P1098 (unqualified, assumed L1)"
zmg,mart1254,Marti Ke,3,2005,"wikidata P1098 (unqualified, assumed L1)"
giy,giyu1238,Giyug,2,2011,"wikidata P1098 (unqualified, assumed L1)"
omg,omag1248,Omagua,2,2020,"wikidata P1098 (unqualified, assumed L1)"
noj,nonu1241,Nonuya,2,2011,"wikidata P1098 (unqualified, assumed L1)"
mzx,mawa1271,Mawayana,2,2013,"wikidata P1098 (unqualified, assumed L1)"
ccc,cham1318,Chamicuro,2,2008,"wikidata P1098 (unqualified, assumed L1)"
sjt,ters1235,Ter Saami,2,2010,"wikidata P1098 (unqualified, assumed L1)"
squ,squa1248,Squamish,1,2014,wikidata P1098 (first-language qualified)
rgr,resi1247,Resígaro,1,2016,"wikidata P1098 (unqualified, assumed L1)"
yug,yugh1239,Yugh,1,2010,"wikidata P1098 (unqualified, assumed L1)"
chn,chin1272,Creolized Grand Ronde Chinook Jargon,1,,"wikidata P1098 (unqualified, assumed L1)"
pbg,para1316,Paraujano,1,2011,"wikidata P1098 (unqualified, assumed L1)"
pej,nort2966,Northern Pomo,1,2007,wikidata P1098 (first-language qualified)
tit,tini1245,Tinigua,1,2013,"wikidata P1098 (unqualified, assumed L1)"
trr,taus1253,Taushiro,1,2002,"wikidata P1098 (unqualified, assumed L1)"
akk,akka1240,Akkadian,0,,"wikidata P1098 (unqualified, assumed L1)"
ako,akur1238,Akurio,0,2018,"wikidata P1098 (unqualified, assumed L1)"
xpi,pict1238,Pictish,0,2023,"wikidata P1098 (unqualified, assumed L1)"
zro,zapa1253,Záparo,0,,"wikidata P1098 (unqualified, assumed L1)"
xpr,part1239,Parthian,0,,"wikidata P1098 (unqualified, assumed L1)"
xrr,raet1238,Raetic,0,,"wikidata P1098 (unqualified, assumed L1)"
yag,yama1264,Yámana,0,2022,"wikidata P1098 (unqualified, assumed L1)"
xsc,,,0,,"wikidata P1098 (unqualified, assumed L1)"
akm,akab1248,Akabo,0,2010,"wikidata P1098 (unqualified, assumed L1)"
xsv,sudo1236,Sudovian,0,,"wikidata P1098 (unqualified, assumed L1)"
yur,yuro1248,Yurok,0,2013,wikidata P1098 (first-language qualified)
xzh,zhan1239,Zhangzhung,0,,"wikidata P1098 (unqualified, assumed L1)"
zko,kott1239,Kott-Assan,0,,"wikidata P1098 (unqualified, assumed L1)"
ysr,sire1246,Old Sirenik,0,,"wikidata P1098 (unqualified, assumed L1)"
ack,akak1251,Akakora,0,2009,"wikidata P1098 (unqualified, assumed L1)"
yxg,yaga1262,Yagara,0,2016,"wikidata P1098 (unqualified, assumed L1)"
lzh,lite1248,Classical Chinese,0,,"wikidata P1098 (unqualified, assumed L1)"
akj,akaj1239,Akajeru,0,2009,"wikidata P1098 (unqualified, assumed L1)"
xve,vene1257,Venetic,0,,"wikidata P1098 (unqualified, assumed L1)"
mvb,matt1238,Mattole-Bear River,0,,"wikidata P1098 (unqualified, assumed L1)"
xvn,,,0,,"wikidata P1098 (unqualified, assumed L1)"
xzm,zemg1234,Zemgalian,0,,"wikidata P1098 (unqualified, assumed L1)"
yej,yeva1238,Yevanic,0,,"wikidata P1098 (unqualified, assumed L1)"
xxm,mink1237,Minkin,0,,"wikidata P1098 (unqualified, assumed L1)"
xxr,coro1248,Koropó,0,,"wikidata P1098 (unqualified, assumed L1)"
zrp,zarp1238,Zarphatic,0,,"wikidata P1098 (unqualified, assumed L1)"
glv,manx1243,Manx,0,1974,wikidata P1098 (first-language qualified)
xpc,pech1242,Pecheneg,0,,"wikidata P1098 (unqualified, assumed L1)"
tpn,tupi1273,Tupinambá,0,,"wikidata P1098 (unqualified, assumed L1)"
cop,copt1239,Coptic,0,2021,"wikidata P1098 (unqualified, assumed L1)"
svx,,,0,,"wikidata P1098 (unqualified, assumed L1)"
ptw,pent1242,Pentlatch,0,,"wikidata P1098 (unqualified, assumed L1)"
ito,iton1250,Itonama,0,2023,"wikidata P1098 (unqualified, assumed L1)"
pth,pata1261,Pataxó Hã-Ha-Hãe,0,2009,"wikidata P1098 (unqualified, assumed L1)"
pro,oldp1253,Old Provençal,0,,"wikidata P1098 (unqualified, assumed L1)"
sxl,,,0,,"wikidata P1098 (unqualified, assumed L1)"
cob,chic1271,Chicomuceltec,0,,"wikidata P1098 (unqualified, assumed L1)"
cnx,midd1380,Middle Cornish,0,,"wikidata P1098 (unqualified, assumed L1)"
clm,clal1241,Clallam,0,2014,"wikidata P1098 (unqualified, assumed L1)"
pox,pola1255,Polabian,0,1780,"wikidata P1098 (unqualified, assumed L1)"
jbo,lojb1234,Lojban,0,2018,wikidata P1098 (first-language qualified)
chu,chur1257,Church Slavic,0,,"wikidata P1098 (unqualified, assumed L1)"
chg,chag1247,Chagatai,0,,"wikidata P1098 (unqualified, assumed L1)"
pmw,plai1259,Plains Miwok,0,,"wikidata P1098 (unqualified, assumed L1)"
pli,pali1273,Pali,0,,wikidata P1098 (first-language qualified)
tgx,tagi1240,Tagish,0,2008,"wikidata P1098 (unqualified, assumed L1)"
pgn,,,0,,"wikidata P1098 (unqualified, assumed L1)"
tlh,klin1234,Klingon,0,,wikidata P1098 (first-language qualified)
cah,cahu1268,Cahuarano,0,,"wikidata P1098 (unqualified, assumed L1)"
tmr,jewi1240,Jewish Babylonian Aramaic (ca. 200-1200 CE),0,,wikidata P1098 (first-language qualified)
kii,kits1249,Kitsai,0,,"wikidata P1098 (unqualified, assumed L1)"
tni,tand1253,Tandia,0,2002,"wikidata P1098 (unqualified, assumed L1)"
sux,sume1241,Sumerian,0,,"wikidata P1098 (unqualified, assumed L1)"
cor,corn1251,Cornish,0,2011,wikidata P1098 (first-language qualified)
pzh,kulo1237,Pazeh-Kahabu,0,2010,"wikidata P1098 (unqualified, assumed L1)"
sia,akka1237,Akkala Saami,0,2003,"wikidata P1098 (unqualified, assumed L1)"
gmh,midd1343,Middle High German,0,,"wikidata P1098 (unqualified, assumed L1)"
gbu,gaga1251,Gaagudju,0,,"wikidata P1098 (unqualified, assumed L1)"
frm,midd1316,Middle French,0,2022,wikidata P1098 (first-language qualified)
frk,fran1264,Old Frankish,0,,"wikidata P1098 (unqualified, assumed L1)"
eya,eyak1241,Eyak,0,,"wikidata P1098 (unqualified, assumed L1)"
sdt,shua1252,Shuadit,0,,"wikidata P1098 (unqualified, assumed L1)"
ett,etru1241,Etruscan,0,,"wikidata P1098 (unqualified, assumed L1)"
got,goth1244,Gothic,0,2019,"wikidata P1098 (unqualified, assumed L1)"
sga,oldi1245,Early Irish,0,,"wikidata P1098 (unqualified, assumed L1)"
enm,midd1317,Middle English,0,,"wikidata P1098 (unqualified, assumed L1)"
elo,elmo1238,El Molo,0,,"wikidata P1098 (unqualified, assumed L1)"
cyb,cayu1262,Cayubaba,0,2012,wikidata P1098 (first-language qualified)
rsi,renn1236,Rennellese Sign Language,0,2000,"wikidata P1098 (unqualified, assumed L1)"
sjk,kemi1239,Kemi Saami,0,,"wikidata P1098 (unqualified, assumed L1)"
dze,djiw1241,Djiwarli,0,,"wikidata P1098 (unqualified, assumed L1)"
skw,skep1238,Skepi Creole Dutch,0,1998,"wikidata P1098 (unqualified, assumed L1)"
dlm,dalm1243,Dalmatian,0,1898,"wikidata P1098 (unqualified, assumed L1)"
dhx,dhun1239,Dhungaloo,0,2012,"wikidata P1098 (unqualified, assumed L1)"
ido,idoo1234,Ido,0,,wikidata P1098 (first-language qualified)
dcr,nege1244,Virgin Islands Dutch Creole,0,1987,"wikidata P1098 (unqualified, assumed L1)"
sog,sogd1245,Sogdian,0,,"wikidata P1098 (unqualified, assumed L1)"
czk,west3000,West Judeo-Slavic,0,,"wikidata P1098 (unqualified, assumed L1)"
osx,olds1250,Old Saxon,0,,"wikidata P1098 (unqualified, assumed L1)"
tpw,tupi1274,Lingua Geral Paulista,0,,"wikidata P1098 (unqualified, assumed L1)"
xmk,,,0,,"wikidata P1098 (unqualified, assumed L1)"
osa,osag1243,Osage,0,,"wikidata P1098 (unqualified, assumed L1)"
apk,kiow1264,Kiowa Apache,0,,"wikidata P1098 (unqualified, assumed L1)"
woy,weyt1237,Weyto,0,,"wikidata P1098 (unqualified, assumed L1)"
wrg,waru1264,Warrongo,0,2009,"wikidata P1098 (unqualified, assumed L1)"
lng,,,0,1900,"wikidata P1098 (unqualified, assumed L1)"
wrz,wara1290,Warray,0,,"wikidata P1098 (unqualified, assumed L1)"
ang,olde1238,Old English (ca. 450-1100),0,,"wikidata P1098 (unqualified, assumed L1)"
anb,ando1255,Andoa,0,,"wikidata P1098 (unqualified, assumed L1)"
xas,kama1351,Kamas-Koibal,0,,"wikidata P1098 (unqualified, assumed L1)"
xcb,,,0,,"wikidata P1098 (unqualified, assumed L1)"
xce,celt1247,Celtiberian,0,2023,"wikidata P1098 (unqualified, assumed L1)"
xco,khwa1238,Khwarezmian,0,,"wikidata P1098 (unqualified, assumed L1)"
xcu,,,0,,"wikidata P1098 (unqualified, assumed L1)"
xcv,chuv1256,Chuvantsy,0,,"wikidata P1098 (unqualified, assumed L1)"
xcy,cayu1241,Cayuse,0,,"wikidata P1098 (unqualified, assumed L1)"
xfa,fali1291,Faliscan,0,,"wikidata P1098 (unqualified, assumed L1)"
xga,gala1252,Galatian,0,,"wikidata P1098 (unqualified, assumed L1)"
xgl,,,0,,"wikidata P1098 (unqualified, assumed L1)"
xli,,,0,,"wikidata P1098 (unqualified, assumed L1)"
xlp,lepo1240,Lepontic,0,,"wikidata P1098 (unqualified, assumed L1)"
xls,lusi1235,Lusitanian,0,,"wikidata P1098 (unqualified, assumed L1)"
xly,elym1237,Elymian,0,,"wikidata P1098 (unqualified, assumed L1)"
xme,,,0,,"wikidata P1098 (unqualified, assumed L1)"
amg,amar1271,Amurdak,0,,"wikidata P1098 (unqualified, assumed L1)"
liv,livv1244,Liv,0,,wikidata P1098 (first-language qualified)
wlk,wail1244,Eel River Athabaskan,0,,"wikidata P1098 (unqualified, assumed L1)"
arb,stan1318,Standard Arabic,0,2023,override: MSA has ~no L1 speakers; macro-Arabic total lives on the varieties
obt,oldb1248,Old Breton,0,,"wikidata P1098 (unqualified, assumed L1)"
bue,beot1247,Beothuk,0,,wikidata P1098 (first-language qualified)
orv,oldr1238,Old Russian,0,,"wikidata P1098 (unqualified, assumed L1)"
brc,berb1259,Berbice Creole Dutch,0,2005,"wikidata P1098 (unqualified, assumed L1)"
omu,omur1241,Omurano,0,,"wikidata P1098 (unqualified, assumed L1)"
omn,mino1236,Minoan,0,,"wikidata P1098 (unqualified, assumed L1)"
oko,,,0,2022,"wikidata P1098 (unqualified, assumed L1)"
okl,oldk1238,Old Kentish Sign Language,0,,"wikidata P1098 (unqualified, assumed L1)"
oco,oldc1252,Old South-West British,0,,"wikidata P1098 (unqualified, assumed L1)"
txr,tart1237,Tartessian,0,2023,"wikidata P1098 (unqualified, assumed L1)"
ocm,oldc1255,Old Cham,0,2001,"wikidata P1098 (unqualified, assumed L1)"
oac,oroc1248,Oroch,0,2016,"wikidata P1098 (unqualified, assumed L1)"
wiy,wiyo1248,Wiyot,0,,"wikidata P1098 (unqualified, assumed L1)"
uks,urub1243,Urubú-Kaapor Sign Language,0,,"wikidata P1098 (unqualified, assumed L1)"
nyt,nyaw1247,Nyawaygi,0,2009,"wikidata P1098 (unqualified, assumed L1)"
umr,umbu1235,Umbugarla,0,,"wikidata P1098 (unqualified, assumed L1)"
axl,lowe1436,Lower Southern Aranda,0,2011,"wikidata P1098 (unqualified, assumed L1)"
axb,abip1241,Abipon,0,,"wikidata P1098 (unqualified, assumed L1)"
avs,aush1242,Aushiri,0,,"wikidata P1098 (unqualified, assumed L1)"
nrx,ngur1260,Ngurmbur,0,,"wikidata P1098 (unqualified, assumed L1)"
ave,aves1237,Avestan,0,,"wikidata P1098 (unqualified, assumed L1)"
nrn,oldn1246,Old Norn,0,1850,"wikidata P1098 (unqualified, assumed L1)"
wic,wich1260,Wichita,0,2016,"wikidata P1098 (unqualified, assumed L1)"
tvx,taiv1237,Taivoan,0,,"wikidata P1098 (unqualified, assumed L1)"
