iso639_3,glottocode,name,l1_speakers,year,source_note
crg,mich1243,Heritage Michif,730,2011,"wikidata P1098 (unqualified, assumed L1)"
nab,sout2994,Southern Nambikuára,720,2006,"wikidata P1098 (unqualified, assumed L1)"
ese,esee1248,Ese Ejja,700,2007,"wikidata P1098 (unqualified, assumed L1)"
smj,lule1254,Lule Saami,700,2022,"wikidata P1098 (unqualified, assumed L1)"
knt,pano1254,Panoan Katukína,700,2010,"wikidata P1098 (unqualified, assumed L1)"
goo,gone1237,Gone Dau,690,,"wikidata P1098 (unqualified, assumed L1)"
gwi,gwic1235,Gwich'in,670,,"wikidata P1098 (unqualified, assumed L1)"
ais,nata1254,Northern Amis,653,2012,"wikidata P1098 (unqualified, assumed L1)"
apy,apal1257,Apalaí,650,2022,"wikidata P1098 (unqualified, assumed L1)"
gae,guar1293,Baniva de Maroa,650,2006,"wikidata P1098 (unqualified, assumed L1)"
ncg,nisg1240,Nisga'a,610,2011,"wikidata P1098 (unqualified, assumed L1)"
sma,sout2674,South Saami,600,1992,"wikidata P1098 (unqualified, assumed L1)"
miw,akoy1238,Akoye,600,2001,wikidata P1098 (first-language qualified)
prc,para1299,Parachi,600,,"wikidata P1098 (unqualified, assumed L1)"
mll,malu1245,Malua-Tepërav,600,,"wikidata P1098 (unqualified, assumed L1)"
pyy,pyen1239,Pyen,600,,"wikidata P1098 (unqualified, assumed L1)"
hix,hixk1239,Hixkaryána,600,2000,"wikidata P1098 (unqualified, assumed L1)"
kay,kama1373,Kamayurá,600,2014,"wikidata P1098 (unqualified, assumed L1)"
kdd,yank1247,Yankunytjatjara,600,2021,wikidata P1098 (first-language qualified)
cao,chac1251,Chácobo,600,2006,"wikidata P1098 (unqualified, assumed L1)"
sov,sons1242,Sonsorol,600,,"wikidata P1098 (unqualified, assumed L1)"
zsa,sara1323,Sarasira,600,2000,"wikidata P1098 (unqualified, assumed L1)"
nil,nila1244,Nila,600,,"wikidata P1098 (unqualified, assumed L1)"
sel,selk1253,Selkup,600,2022,"wikidata P1098 (unqualified, assumed L1)"
nce,yale1246,Yale,600,1991,"wikidata P1098 (unqualified, assumed L1)"
yha,baha1256,Baha Buyang,600,2007,wikidata P1098 (first-language qualified)
pqm,male1292,Malecite-Passamaquoddy,590,2011,"wikidata P1098 (unqualified, assumed L1)"
unk,enaw1238,Enawené-Nawé,570,2014,"wikidata P1098 (unqualified, assumed L1)"
tue,tuyu1244,Tuyuca,570,2009,"wikidata P1098 (unqualified, assumed L1)"
gul,gull1241,Sea Island Creole English,550,1990,"wikidata P1098 (unqualified, assumed L1)"
snn,sion1247,Siona-Tetete,550,2013,"wikidata P1098 (unqualified, assumed L1)"
esy,eska1234,Eskayan,550,2013,"wikidata P1098 (unqualified, assumed L1)"
kkk,koko1269,Kokota,530,,"wikidata P1098 (unqualified, assumed L1)"
aca,acha1250,Achagua,514,,"wikidata P1098 (unqualified, assumed L1)"
mbn,maca1259,Hitnu,513,2008,"wikidata P1098 (unqualified, assumed L1)"
bao,waim1255,Waimaha,500,2006,"wikidata P1098 (unqualified, assumed L1)"
cji,cham1309,Chamalal,500,2010,"wikidata P1098 (unqualified, assumed L1)"
cot,caqu1242,Caquinte,500,2012,"wikidata P1098 (unqualified, assumed L1)"
sjd,kild1236,Kildin Saami,500,,"wikidata P1098 (unqualified, assumed L1)"
jic,toll1241,Tol,500,2012,"wikidata P1098 (unqualified, assumed L1)"
txi,ikpe1245,Ikpeng,500,2013,"wikidata P1098 (unqualified, assumed L1)"
tli,tlin1245,Tlingit,500,2016,"wikidata P1098 (unqualified, assumed L1)"
lsn,tibe1277,Tibetan Sign Language,500,2018,"wikidata P1098 (unqualified, assumed L1)"
tsy,tebu1240,Tebul Sign Language,500,2007,"wikidata P1098 (unqualified, assumed L1)"
amr,amar1274,Amarakaeri,500,,"wikidata P1098 (unqualified, assumed L1)"
kwk,kwak1269,Kwak'wala,500,2011,"wikidata P1098 (unqualified, assumed L1)"
cbc,cara1272,Carapana,482,2005,"wikidata P1098 (unqualified, assumed L1)"
jmw,mouw1234,Mouwase,450,2011,"wikidata P1098 (unqualified, assumed L1)"
ems,paci1278,Pacific Gulf Yupik,450,,"wikidata P1098 (unqualified, assumed L1)"
pkp,puka1242,Pukapuka,450,2011,wikidata P1098 (first-language qualified)
jqr,jaqa1244,Jaqaru,448,,"wikidata P1098 (unqualified, assumed L1)"
thp,thom1243,Thompson,440,,"wikidata P1098 (unqualified, assumed L1)"
