level,seg,segment_class,n_languages,pct_languages,pct_l1_weighted,pct_total_weighted,l1_with,total_with,top_allophones,merged_strict_variants,n_wold_recipients,in_wold
lumped,a˞,vowel,5,0.0023,0.14916,0.12809,918034100,1324652759,ɐ˞(1) ɜ˞(1),a˞ː a̟˞ ɑ˞,1,True
lumped,ye,vowel,3,0.00138,0.14916,0.12809,918014100,1324632759,,,1,True
lumped,iou,vowel,1,0.00046,0.14916,0.12809,918000000,1324618659,,,1,True
lumped,ã,vowel,415,0.19063,0.14734,0.1526,906801659,1578100108,æ̃(3) ʌ̃(1) ə̃(1) ɒ̃(1) ãˤ(1) a(1),ã ãː ã̈ ã̈ː ẵ ã̟ ã̟ː,3,True
lumped,ɦ,consonant,68,0.03124,0.14728,0.14938,906426467,1544756466,h(5) x(2) ɦʲ(1) ɦˠ(1) ɦʷˠ(1) ɦ̃(1) ɦ̥(1) ∅(1),,1,True
lumped,æ̃,vowel,48,0.02205,0.13362,0.13826,822363355,1429820404,ã(1),æ̃ː æ̞̃,2,True
lumped,ɯ,vowel,150,0.0689,0.11863,0.07367,730135486,761845107,ɯ̥(6) ɤ(6) ɯ̃(4) ʊ(3) ɰ(2) u(2) ə(2) ɯɰ(1),ɯː ɯˑ ɯ̆ ɯ̝ ɯ̞ ɯ̞̆ ɯ̞̯ ɯ̟ ɯ̽ ɯ̽ː,4,True
lumped,ʋ,consonant,44,0.02021,0.11297,0.11907,695306868,1231300760,w(4) β(2) ʋ̃(1) ʋʲ(1) u(1) ʍ(1) b(1) v(1),ʋː ʋ̩,0,False
lumped,ɳ,consonant,308,0.14148,0.11078,0.08837,681793207,913883429,ɽ̃(3) ɳ̥(2) ɳʲ(1) ɳʱ(1) ʲɳ(1) ɳʷ(1),ɳʱ ɳ̟ ɳ̺,1,True
lumped,ɔ̃,vowel,193,0.08865,0.10971,0.117,675184330,1209905446,ʊ̃(1) ɔ̃i(1),ɔ̃ː ɔ̞̃ ɔ̞̃ː,1,True
lumped,c,consonant,330,0.15158,0.10442,0.07798,642651707,806403818,cʰ(39) ɟ(20) tʃ(10) j(5) ç(5) ʃ(5) s(4) cç(3),cʰ cʰː cː c̟ c̠ c̻ c̻̟ ʰc,3,True
lumped,ɒ,vowel,41,0.01883,0.0956,0.21858,588347192,2260359888,ɑ(3) ɔ(2) ɒ̃(2) a(1) ə(1) ɒə(1) ʔɒ(1),ɒː ɒ̆ ɒ̝,1,True
